9
0
73
0	64.8	0	-0.2	-0	-0	-0	-0.3	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.1	-0.1	-0.1	-0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.2	-0.1	-0.5	-0	-0	-0	-0	-0	-0	-1.5	-0	-0	
1	16.2	0.2	0	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.1	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.1	-0.2	-0.2	-0.2	-0.2	-0	-0.5	-0	-0	-0	-0	-0	-0	-0	
2	16.2	0	0.2	0	-0.1	-0	-0.4	-0	-0.2	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.1	-0	-0	-0	-0	-0.1	-0.1	-0.1	-0	-0.9	-0	-0	-0	-0	-0	-0	-1.9	-0	-0	
3	16.2	0	0.2	0.1	0	-0.1	-0.3	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.2	-0.1	-0.8	-3.8	-0	-0	-0	-0	-0	-0	-0	-0	
4	16.4	0	0.2	0	0.1	0	-0.4	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.2	-0	-0	-0	-0	-0.1	-0.1	-0.1	-0	-0.5	-0	-0	-0	-0	-1.1	-0	-0	-0	-0	
5	16.2	0.3	0.2	0.4	0.3	0.4	0	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.3	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.4	-0.3	-0.4	-0.4	-0.4	-0.4	-0.3	-0.3	-0.4	-0.4	-1	-0	-0	-0	-0	-2.1	-0	-0	-0	-0	
6	16.1	0	0.2	0	0.1	0	0.4	0	-0.2	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.1	-0	-0	-0	-0	-0.1	-0.1	-0.1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	
7	16.2	0	0.2	0.2	0.1	0	0.4	0.2	0	-0	-0	-0.2	-0	-0	-0	-0.2	-0	-0	-0	-0.2	-0	-0	-0	-0.2	-0	-0	-0	-0.2	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.2	-0	-0	-0	-0	-0.1	-0.1	-0.1	-0	-0	-0	-0	-0	-1.9	-0	-0	-0	-0	-0	
8	16.1	0	0.2	0	0.1	0	0.4	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.2	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.1	-0	-0	-0	-0	-0.2	-0.1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	
9	16.1	0	0.2	0	0.1	0	0.4	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.2	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.1	-0	-0	-0	-0	-0.1	-0.1	-0.1	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	
