43
0
14
0	976	0	50	0	0	0	0	0	0	0	0	0	0	0	0	
1	976	-50	0	50	0	0	0	0	0	0	0	0	0	0	0	
2	976	0	-50	0	50	0	0	0	0	0	0	0	0	0	0	
3	976	0	0	-50	0	50	0	0	0	0	0	0	0	0	0	
4	976	0	0	0	-50	0	50	0	0	0	0	0	0	0	0	
5	976	0	0	0	0	-50	0	50	0	0	0	0	0	0	0	
6	976	0	0	0	0	0	-50	0	50	0	0	0	0	0	0	
7	976	0	0	0	0	0	0	-50	0	50	0	0	0	0	0	
8	976	0	0	0	0	0	0	0	-50	0	50	0	0	0	0	
9	976	0	0	0	0	0	0	0	0	-50	0	50	0	0	0	
10	976	0	0	0	0	0	0	0	0	0	-50	0	50	0	0	
11	976	0	0	0	0	0	0	0	0	0	0	-50	0	50	0	
12	976	0	0	0	0	0	0	0	0	0	0	0	-50	0	50	
13	976	0	0	0	0	0	0	0	0	0	0	0	0	-50	0	
