32
0
16
0	406	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	406	-50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	406	0	-50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	
3	406	0	0	-50	0	50	0	0	0	0	0	0	0	0	0	0	0	
4	406	0	0	0	-50	0	50	0	0	0	0	0	0	0	0	0	0	
5	406	0	0	0	0	-50	0	50	0	0	0	0	0	0	0	0	0	
6	406	0	0	0	0	0	-50	0	50	0	0	0	0	0	0	0	0	
7	406	0	0	0	0	0	0	-50	0	50	0	0	0	0	0	0	0	
8	406	0	0	0	0	0	0	0	-50	0	50	0	0	0	0	0	0	
9	406	0	0	0	0	0	0	0	0	-50	0	50	0	0	0	0	0	
10	406	0	0	0	0	0	0	0	0	0	-50	0	50	0	0	0	0	
11	406	0	0	0	0	0	0	0	0	0	0	-50	0	50	0	0	0	
12	406	0	0	0	0	0	0	0	0	0	0	0	-50	0	50	0	0	
13	406	0	0	0	0	0	0	0	0	0	0	0	0	-50	0	50	0	
14	406	0	0	0	0	0	0	0	0	0	0	0	0	0	-50	0	50	
15	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-50	0	
